amt,city_pop,,,amt,,,city_pop,,
6.03,207410,,,,,,,,
42.35,498,,,,,,,,
1564.95,27971,,,,,,,,
93.16,1312922,,,,,,,,
18.99,276002,,,,,,,,
29.84,213,,,,,,,,
3.51,409656,,,,,,,,
76.14,95,,,,,,,,
86.89,686,,,,,,,,
153.94,765,,,,,,,,
28.19,4993,,,,,,,,
4.62,6951,,,,,,,,
34.32,242,,,,,,,,
70.49,2036,,,,,,,,
80.09,1126,,,,,,,,
64.17,1461,,,,,,,,
66.77,2872,,,,,,,,
102.15,31515,,,,,,,,
36,8007,,,,,,,,
58.64,135332,,,,,,,,
47.33,198,,,,,,,,
18.44,2307,,,,,,,,
61.72,6006,,,,,,,,
8.7,895,,,,,,,,
59.11,263,,,,,,,,
76.73,673342,,,,,,,,
123.95,1523,,,,,,,,
274.21,1075,,,,,,,,
130.55,3343,,,,,,,,
34.47,79008,,,,,,,,
1.64,6434,,,,,,,,
12.18,341,,,,,,,,
58.72,12335,,,,,,,,
77.55,1571,,,,,,,,
33.29,2368,,,,,,,,
47.96,6508,,,,,,,,
105.02,7646,,,,,,,,
61.09,145,,,,,,,,
14.22,6841,,,,,,,,
40.84,1689,,,,,,,,
89.21,2457,,,,,,,,
38.42,54287,,,,,,,,
24.07,123373,,,,,,,,
1.2,258,,,,,,,,
44.14,34153,,,,,,,,
115.36,1063,,,,,,,,
4.26,1051,,,,,,,,
3.88,238602,,,,,,,,
24.33,5512,,,,,,,,
219.19,4575,,,,,,,,
66.02,1979,,,,,,,,
11.86,571,,,,,,,,
237.17,5657,,,,,,,,
43.78,16183,,,,,,,,
87.64,349,,,,,,,,
89.88,888,,,,,,,,
166.24,1263321,,,,,,,,
78.47,53,,,,,,,,
98.41,601723,,,,,,,,
5.35,6018,,,,,,,,
46.14,302,,,,,,,,
48.54,2607,,,,,,,,
40.48,2317,,,,,,,,
85.23,19054,,,,,,,,
52.71,478,,,,,,,,
93.06,741,,,,,,,,
5.34,863,,,,,,,,
171.43,3289,,,,,,,,
8.53,973849,,,,,,,,
18.89,528,,,,,,,,
40.84,54767,,,,,,,,
4.2,460,,,,,,,,
79.19,1446,,,,,,,,
3.99,242,,,,,,,,
7.01,1631,,,,,,,,
34.17,337,,,,,,,,
76.41,1858,,,,,,,,
46.19,489,,,,,,,,
94.97,276002,,,,,,,,
40.74,516,,,,,,,,
166.19,1791,,,,,,,,
1.38,46,,,,,,,,
325.16,87124,,,,,,,,
7.24,2872,,,,,,,,
8.95,504,,,,,,,,
105.69,1770,,,,,,,,
342.97,2836,,,,,,,,
77.78,337,,,,,,,,
32.58,370,,,,,,,,
120.38,663,,,,,,,,
8.12,1766,,,,,,,,
11.62,798,,,,,,,,
91.33,743,,,,,,,,
5.22,589,,,,,,,,
7.08,34153,,,,,,,,
3.33,6284,,,,,,,,
17.08,74,,,,,,,,
143.16,270712,,,,,,,,
215.49,3688,,,,,,,,
111.07,632,,,,,,,,
8.43,313,,,,,,,,
191.67,46563,,,,,,,,
79.25,107941,,,,,,,,
19.93,214518,,,,,,,,
6.94,248,,,,,,,,
14.21,601723,,,,,,,,
100.6,51,,,,,,,,
7.75,6469,,,,,,,,
100.46,2870,,,,,,,,
183.63,128354,,,,,,,,
3.4,3066,,,,,,,,
1.98,341,,,,,,,,
54.12,467,,,,,,,,
18.06,804,,,,,,,,
33.2,11250,,,,,,,,
5.32,378909,,,,,,,,
32.36,1196,,,,,,,,
49.56,13835,,,,,,,,
94.88,229,,,,,,,,
4.44,67082,,,,,,,,
43.09,23,,,,,,,,
82.22,4542,,,,,,,,
24.6,4198,,,,,,,,
57.32,895,,,,,,,,
7.15,69,,,,,,,,
28.01,30770,,,,,,,,
291.38,5211,,,,,,,,
54.37,229,,,,,,,,
24.8,725,,,,,,,,
59.01,1051,,,,,,,,
67.13,9815,,,,,,,,
61.17,743,,,,,,,,
77.84,28425,,,,,,,,
4.52,606,,,,,,,,
7.98,55581,,,,,,,,
3.67,1850,,,,,,,,
36.24,166081,,,,,,,,
58.63,753116,,,,,,,,
216.62,61,,,,,,,,
6.03,4090,,,,,,,,
27.41,1577385,,,,,,,,
501.2,741,,,,,,,,
2.72,564,,,,,,,,
152.79,128,,,,,,,,
42.75,92608,,,,,,,,
2.24,3402,,,,,,,,
74.14,5760,,,,,,,,
71.13,1446,,,,,,,,
88.72,43102,,,,,,,,
5.43,372,,,,,,,,
97.07,110,,,,,,,,
75.57,190178,,,,,,,,
148.52,969,,,,,,,,
2.48,2836,,,,,,,,
13.21,2523,,,,,,,,
192.51,3688,,,,,,,,
117.22,1304,,,,,,,,
9.66,276896,,,,,,,,
52.86,46563,,,,,,,,
66.85,687276,,,,,,,,
205.96,24645,,,,,,,,
97.87,639,,,,,,,,
103.22,970,,,,,,,,
53.48,26120,,,,,,,,
4.4,355,,,,,,,,
11.34,321,,,,,,,,
60.97,470,,,,,,,,
86.54,3833,,,,,,,,
1.48,2307,,,,,,,,
2.13,192,,,,,,,,
1.67,5548,,,,,,,,
11.7,207410,,,,,,,,
94.27,104,,,,,,,,
53.55,470,,,,,,,,
56.34,2121,,,,,,,,
2.15,260,,,,,,,,
71.77,1143,,,,,,,,
9.91,128715,,,,,,,,
2.59,43102,,,,,,,,
89.47,1196,,,,,,,,
66.06,1532,,,,,,,,
150.86,4677,,,,,,,,
2.51,9594,,,,,,,,
105.46,1312922,,,,,,,,
137.55,1766,,,,,,,,
2.25,1490,,,,,,,,
52.09,633,,,,,,,,
67.61,8007,,,,,,,,
395.51,21134,,,,,,,,
92.03,1725,,,,,,,,
9.37,308,,,,,,,,
143.21,61,,,,,,,,
6.01,3776,,,,,,,,
6.68,687276,,,,,,,,
54.9,70,,,,,,,,
48.74,1186,,,,,,,,
194.55,16183,,,,,,,,
33.41,1186,,,,,,,,
2.81,5662,,,,,,,,
84.21,2870,,,,,,,,
58.16,129,,,,,,,,
2.09,687276,,,,,,,,
5.06,409656,,,,,,,,
34.23,5341,,,,,,,,
65.4,5512,,,,,,,,
1.77,647,,,,,,,,
55.38,5726,,,,,,,,
28.93,5848,,,,,,,,
95.59,1089,,,,,,,,
53.34,54185,,,,,,,,
7.19,606,,,,,,,,
27.87,3395,,,,,,,,
34.09,128715,,,,,,,,
266.55,207,,,,,,,,
49.76,885,,,,,,,,
41.65,3263,,,,,,,,
135.08,1645,,,,,,,,
68.72,1804,,,,,,,,
33.82,3430,,,,,,,,
45.16,49,,,,,,,,
36.58,626,,,,,,,,
61.07,6629,,,,,,,,
38.36,761,,,,,,,,
18.08,32891,,,,,,,,
175.15,1526206,,,,,,,,
41.62,4895,,,,,,,,
7.13,134056,,,,,,,,
119.04,4049,,,,,,,,
6.57,23727,,,,,,,,
33.67,1274,,,,,,,,
63.68,222785,,,,,,,,
154.73,470,,,,,,,,
87.29,116001,,,,,,,,
342.29,899,,,,,,,,
1.5,5621,,,,,,,,
92.48,18459,,,,,,,,
105.13,18760,,,,,,,,
89.73,3876,,,,,,,,
19.08,86954,,,,,,,,
176.35,976,,,,,,,,
104.68,22191,,,,,,,,
124.77,337,,,,,,,,
91,6284,,,,,,,,
14.74,5908,,,,,,,,
52.15,2368,,,,,,,,
49.45,50835,,,,,,,,
4.19,725,,,,,,,,
176.63,224256,,,,,,,,
35.48,765,,,,,,,,
12.24,5161,,,,,,,,
72.88,639,,,,,,,,
3.09,7155,,,,,,,,
44.38,27020,,,,,,,,
43.88,895,,,,,,,,
154.16,969,,,,,,,,
16.04,270712,,,,,,,,
18.15,4005,,,,,,,,
23.42,2036,,,,,,,,
62.38,8874,,,,,,,,
153.85,2376,,,,,,,,
6.64,450,,,,,,,,
903.09,3807,,,,,,,,
21.72,1426,,,,,,,,
60.1,194500,,,,,,,,
57.25,76383,,,,,,,,
77.12,1382480,,,,,,,,
4.26,47,,,,,,,,
13.28,69793,,,,,,,,
26.8,804,,,,,,,,
127.1,4589,,,,,,,,
16.31,6284,,,,,,,,
35.99,50489,,,,,,,,
56.37,2504700,,,,,,,,
22,6006,,,,,,,,
5.45,1263321,,,,,,,,
288.04,14228,,,,,,,,
83.43,863,,,,,,,,
68.1,525713,,,,,,,,
78.1,14783,,,,,,,,
61.43,275,,,,,,,,
22.85,9784,,,,,,,,
6.5,32891,,,,,,,,
13.35,28425,,,,,,,,
29.65,100,,,,,,,,
92.18,139650,,,,,,,,
8.93,2691,,,,,,,,
8.09,3285,,,,,,,,
79.44,6434,,,,,,,,
1.16,239,,,,,,,,
92.1,828,,,,,,,,
26.77,100,,,,,,,,
1.42,74,,,,,,,,
15.16,1666,,,,,,,,
223.8,84106,,,,,,,,
57.06,34153,,,,,,,,
23.35,581,,,,,,,,
9.11,760,,,,,,,,
146.67,782,,,,,,,,
19.17,937,,,,,,,,
232.7,6120,,,,,,,,
23.33,21134,,,,,,,,
72.8,46944,,,,,,,,
136.61,165,,,,,,,,
70.4,1186,,,,,,,,
31.22,255,,,,,,,,
59.79,9496,,,,,,,,
6.93,722,,,,,,,,
35.39,17047,,,,,,,,
35.31,381459,,,,,,,,
33.7,35439,,,,,,,,
28.37,3430,,,,,,,,
15.52,149,,,,,,,,
125.21,828,,,,,,,,
2.33,172817,,,,,,,,
63.91,8007,,,,,,,,
57.6,753116,,,,,,,,
32.83,1523,,,,,,,,
23.23,21134,,,,,,,,
57.42,144160,,,,,,,,
57.16,1909,,,,,,,,
50.23,969,,,,,,,,
49.7,459921,,,,,,,,
121.92,59705,,,,,,,,
171.27,1383,,,,,,,,
3.24,3032,,,,,,,,
4.3,328,,,,,,,,
31.93,144160,,,,,,,,
77.59,92985,,,,,,,,
32.06,551,,,,,,,,
11.91,348,,,,,,,,
45.63,680,,,,,,,,
3.26,3096,,,,,,,,
51.2,24645,,,,,,,,
72.13,631,,,,,,,,
2.84,579,,,,,,,,
224.02,224256,,,,,,,,
5.68,5577,,,,,,,,
56.12,4474,,,,,,,,
8.3,1472,,,,,,,,
54.56,5161,,,,,,,,
47.97,724,,,,,,,,
7.5,1810,,,,,,,,
